knot,crossings,sticks,input_min_dist
3_1,3,6,0.013783260867344051
4_1,4,7,0.025183868609791951
5_1,5,8,0.0021577395655405112
5_2,5,8,0.00038925762986162147
6_1,6,8,0.0063128631183924123
6_2,6,8,0.01334676633410575
6_3,6,8,0.0030879786326882112
7_1,7,9,0.0057072490980854141
7_2,7,9,0.0032999524878407254
7_3,7,9,0.0017319644151914933
7_4,7,9,0.0045089315994107692
7_5,7,9,0.00030376584872838174
7_6,7,9,0.015653484680503819
7_7,7,9,0.0062203548836207261
8_1,8,10,0.012436852404043408
8_10,8,10,0.0020882240205469743
8_11,8,10,0.011526822852318404
8_12,8,10,0.0011869479696442282
8_13,8,10,0.0023880773069314743
8_14,8,10,0.0065519761336161192
8_15,8,10,0.00099735721348642183
8_16,8,9,0.008554740888707205
8_17,8,9,0.0011595314264413845
8_18,8,9,0.0118385820967002
8_19,8,8,0.0047216128551732517
8_2,8,10,0.0044828493651747556
8_20,8,8,0.0013444612093359892
8_21,8,9,0.0047476247073856958
8_3,8,10,0.0049394687203680263
8_4,8,10,0.0059030530938099322
8_5,8,10,0.0015336591570322754
8_6,8,10,0.00039666057276661638
8_7,8,10,0.0065443569335716413
8_8,8,10,0.00062304545297595137
8_9,8,10,0.0072173646764853005
9_1,9,10,0.00011655552667578786
9_10,9,10,0.0004189921487392982
9_11,9,10,0.00031584577470401669
9_12,9,10,0.0061886889342210047
9_13,9,10,0.00051794074378388717
9_14,9,10,0.00032607155083036465
9_15,9,10,0.0010641570358025931
9_16,9,10,0.0062763013632301037
9_17,9,10,0.00070355617404960615
9_18,9,10,0.011614251506647421
9_19,9,10,0.0021214033134420015
9_2,9,10,0.0050636250509468687
9_20,9,10,0.031253850956077252
9_21,9,10,0.0064970207595833173
9_22,9,10,0.0046165067678700118
9_23,9,10,0.0038111651459638855
9_24,9,10,0.0048175039043773056
9_25,9,10,0.0044256627672760156
9_26,9,10,0.00023246252376483528
9_27,9,10,0.0081100556874744104
9_28,9,10,0.001341351056301496
9_29,9,9,0.00018453648111180598
9_3,9,10,0.0018285640081862628
9_30,9,10,0.00088028335631501031
9_31,9,10,0.0013032667082706509
9_32,9,10,0.0068375632612360923
9_33,9,10,0.0021287000518969987
9_34,9,9,0.00055415521728675637
9_35,9,9,0.00052795681319789281
9_36,9,10,0.0088183351406366257
9_37,9,10,0.0011444295352572604
9_38,9,10,0.0042793264546861264
9_39,9,9,0.0018160784043860653
9_4,9,10,0.0019297179058517017
9_40,9,9,0.0092350140762073978
9_41,9,9,0.0018557164036462697
9_42,9,9,0.0049493357854111927
9_43,9,9,0.0048499803640153147
9_44,9,9,0.00199263852235196
9_45,9,9,0.0037068024928087239
9_46,9,9,0.0073966851889774587
9_47,9,9,0.00094045052796683064
9_48,9,9,0.0058960175658946774
9_49,9,9,0.0061705606012006512
9_5,9,10,0.0044179283172732274
9_6,9,10,0.0014927287121562689
9_7,9,10,0.00060901594582231497
9_8,9,10,0.0033558587789644695
9_9,9,10,0.0040684736781234025
10_1,10,11,0.00076256252177631795
10_10,10,10,0.0020354833429440445
10_100,10,10,0.001337758999232181
10_101,10,10,0.00098141029544258538
10_102,10,10,0.0037085077907646987
10_103,10,10,9.9960648608461453e-05
10_104,10,10,0.00024325702885399889
10_105,10,10,0.0018122160437167849
10_106,10,10,0.0048984494303390552
10_107,10,10,0.0006302507075906927
10_108,10,10,0.0019176861394235756
10_109,10,10,9.5597850109719164e-05
10_11,10,11,0.0011694474139777545
10_110,10,10,0.0024437543329678081
10_111,10,10,0.0064029369318889815
10_112,10,10,0.00030273220840646461
10_113,10,10,0.0022002646461697752
10_114,10,10,0.00071744642127635392
10_115,10,10,0.011700057092399487
10_116,10,10,0.0027123822527451353
10_117,10,10,0.00018123185607942958
10_118,10,10,0.0032334992369705737
10_119,10,10,0.0047517634404370792
10_12,10,11,0.0038861112147494212
10_120,10,10,0.013739919504928777
10_121,10,10,0.00097213670197862775
10_122,10,10,0.0036077491544878751
10_123,10,10,0.0014266724679734568
10_124,10,10,0.0049241355968248574
10_125,10,10,0.0072240720865097236
10_126,10,10,0.00094280702934962162
10_127,10,10,0.00040743369013777382
10_128,10,10,0.0041254258859053572
10_129,10,10,0.0079182433641241737
10_13,10,11,0.002379311852204869
10_130,10,10,0.00053965879622435038
10_131,10,10,0.00047107603258099385
10_132,10,10,0.00078458444332403629
10_133,10,10,0.0022788866725868551
10_134,10,10,0.0019274269987656974
10_135,10,10,0.0054435849224070496
10_136,10,10,0.00061959274623063954
10_137,10,10,0.00096132030736189569
10_138,10,10,0.0046339044092527024
10_139,10,10,0.00067340346792206399
10_14,10,11,0.00048545990486487068
10_140,10,10,0.0046617772103985204
10_141,10,10,0.0039464144158318261
10_142,10,10,0.0015147194402540367
10_143,10,10,0.0045001350334292096
10_144,10,10,0.0029937264200509419
10_145,10,10,0.0059366710285525311
10_146,10,10,0.0015892470953081821
10_147,10,10,0.0058903847858256852
10_148,10,10,0.0035669175829053869
10_149,10,10,0.014591699955132738
10_15,10,11,0.011401864579003123
10_150,10,10,0.0075338829865583641
10_151,10,10,0.0017830784247374527
10_152,10,10,0.0030890134233794659
10_153,10,10,0.00065420842999562871
10_154,10,10,0.00030596976621731015
10_155,10,10,0.0030862752160166207
10_156,10,10,0.0033329422883959276
10_157,10,10,0.00024160951927456733
10_158,10,10,0.005940303521304909
10_159,10,10,0.0054598243379256686
10_16,10,10,0.025701639524047932
10_160,10,10,0.0014992487441569543
10_161,10,10,0.0013419726508109957
10_162,10,10,0.0092345881063967249
10_163,10,10,0.0014272898829500742
10_164,10,10,0.00060492296097978797
10_165,10,10,0.00015448698988431794
10_17,10,10,0.00041458337082881167
10_18,10,10,0.0023688636149429426
10_19,10,10,0.00062597384997107393
10_2,10,11,0.0019198739562758178
10_20,10,11,0.0027370158484630478
10_21,10,11,2.6642310004554491e-05
10_22,10,11,0.011733894461990182
10_23,10,11,0.0024893936665754063
10_24,10,11,0.00074696562811286601
10_25,10,11,0.0023931528152825216
10_26,10,11,0.0035913705915289382
10_27,10,11,0.00037617868915441628
10_28,10,11,0.0024565592620120185
10_29,10,11,0.00020782459700141085
10_3,10,11,0.00011687182987912592
10_30,10,11,0.0043265855124313291
10_31,10,10,0.0011780219554690724
10_32,10,11,0.0026130466066256637
10_33,10,10,0.0023238734315291923
10_34,10,11,0.0029747399687087912
10_35,10,11,0.014064369180626615
10_36,10,11,0.0032669677070929154
10_37,10,11,0.0030713746097022665
10_38,10,11,0.0015855786751620409
10_39,10,11,0.0055887615460481349
10_4,10,11,0.0050484685333825972
10_40,10,11,0.0039132746370244284
10_41,10,11,0.00067443761586098998
10_42,10,11,0.002429339668346288
10_43,10,11,0.0017894008979775613
10_44,10,11,0.0055564071137597449
10_45,10,11,0.0029004919253716606
10_46,10,11,0.002906484878090059
10_47,10,11,0.0019755035813809052
10_48,10,10,0.000836702598644536
10_49,10,11,0.0097296867004036617
10_5,10,11,0.0044525919095057057
10_50,10,11,0.00012358497482854638
10_51,10,11,0.0043598754880581365
10_52,10,10,0.0089351742386478555
10_53,10,11,0.0011353699065951219
10_54,10,11,0.0016568261739345362
10_55,10,11,0.0014394138388552193
10_56,10,10,0.00076763586625007462
10_57,10,11,0.0078738264243844117
10_58,10,11,0.00050406271500734836
10_59,10,11,0.00084996626766732316
10_6,10,11,0.0040258012553300443
10_60,10,10,0.0021702095876297779
10_61,10,10,7.1391220153582547e-05
10_62,10,11,0.00077886955201635533
10_63,10,11,0.00070688882439908516
10_64,10,11,0.0016939575290296747
10_65,10,11,0.0020392718682857957
10_66,10,11,0.0023297547573148422
10_67,10,11,0.00052725866551482908
10_68,10,10,0.00065495245927570057
10_69,10,11,0.0010181425124738406
10_7,10,11,0.00043323278649305826
10_70,10,11,0.0010510599174708957
10_71,10,11,0.0026400371786769504
10_72,10,11,0.0024624212921927494
10_73,10,11,0.0010131552550768424
10_74,10,11,0.00012487925098984883
10_75,10,11,0.00034618926101156198
10_76,10,11,0.00063933913653066833
10_77,10,11,0.00093772728093312286
10_78,10,11,7.8144829317108912e-05
10_79,10,11,0.0032086355639469755
10_8,10,10,0.0018341745094996762
10_80,10,11,0.0037078177943324873
10_81,10,11,0.01093668393356558
10_82,10,10,0.0031232103405161946
10_83,10,10,2.1854823840860799e-06
10_84,10,10,0.00083577882555797964
10_85,10,10,0.0054621658550904912
10_86,10,10,0.0044439063940453849
10_87,10,10,0.0027797926518784602
10_88,10,11,0.0012676423137191822
10_89,10,11,0.0011629214498559684
10_9,10,10,8.2348878836039144e-05
10_90,10,10,0.0030968858571115772
10_91,10,10,0.0077888629942051953
10_92,10,10,0.0021860647531236651
10_93,10,10,0.00088698939282329898
10_94,10,10,0.00074575433096197902
10_95,10,11,0.0043952733687500703
10_96,10,10,0.000419674840448538
10_97,10,10,0.00093738236104701071
10_98,10,11,0.00055894681073658881
