knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
3_1,3,6,6,6,0,6,matched,reported_only
4_1,4,7,7,7,0,7,matched,reported_only
5_1,5,8,8,8,0,8,matched,reported_only
5_2,5,8,8,8,0,8,matched,reported_only
6_1,6,8,8,8,0,8,matched,reported_only
6_2,6,8,8,8,0,8,matched,reported_only
6_3,6,8,8,8,0,8,matched,reported_only
7_1,7,9,9,9,0,9,matched,reported_only
7_2,7,9,9,9,0,9,matched,reported_only
7_3,7,9,9,9,0,9,matched,reported_only
7_4,7,9,9,9,0,9,matched,reported_only
7_5,7,9,9,9,0,9,matched,reported_only
7_6,7,9,9,9,0,9,matched,reported_only
7_7,7,9,9,9,0,9,matched,reported_only
8_1,8,10,,10,0,10,matched,reported_only
8_10,8,10,,10,0,10,matched,reported_only
8_11,8,10,,10,0,10,matched,reported_only
8_12,8,10,,10,0,10,matched,reported_only
8_13,8,10,,10,0,10,matched,reported_only
8_14,8,10,,10,0,10,matched,reported_only
8_15,8,10,,10,0,10,matched,reported_only
8_16,8,9,9,9,0,9,matched,reported_only
8_17,8,9,9,9,0,9,matched,reported_only
8_18,8,9,9,9,0,9,matched,reported_only
8_19,8,8,8,8,0,8,matched,reported_only
8_2,8,10,,10,0,10,matched,reported_only
8_20,8,8,8,8,0,8,matched,reported_only
8_21,8,9,9,9,0,9,matched,reported_only
8_3,8,10,,10,0,10,matched,reported_only
8_4,8,10,,10,0,10,matched,reported_only
8_5,8,10,,10,0,10,matched,reported_only
8_6,8,10,,10,0,10,matched,reported_only
8_7,8,10,,10,0,10,matched,reported_only
8_8,8,10,,10,0,10,matched,reported_only
8_9,8,10,,10,0,10,matched,reported_only
9_1,9,10,,10,0,10,matched,reported_only
9_10,9,10,,10,0,10,matched,reported_only
9_11,9,10,,10,0,10,matched,reported_only
9_12,9,10,,10,0,10,matched,reported_only
9_13,9,10,,10,0,10,matched,reported_only
9_14,9,10,,10,0,10,matched,reported_only
9_15,9,10,,10,0,10,matched,reported_only
9_16,9,10,,10,0,10,matched,reported_only
9_17,9,10,,10,0,10,matched,reported_only
9_18,9,10,,10,0,10,matched,reported_only
9_19,9,10,,10,0,10,matched,reported_only
9_2,9,10,,10,0,10,matched,reported_only
9_20,9,10,,10,0,10,matched,reported_only
9_21,9,10,,10,0,10,matched,reported_only
9_22,9,10,,10,0,10,matched,reported_only
9_23,9,10,,11,1,10,matched,reported_only
9_24,9,10,,10,0,10,matched,reported_only
9_25,9,10,,10,0,10,matched,reported_only
9_26,9,10,,10,0,10,matched,reported_only
